category_id,category_title,challenge_id,challenge_title,challenge_points
8,Web,255,Timesheet As a Service,5
8,Web,256,Password Reset As a Service,5
8,Web,338,UploadStar Reloaded,5
8,Web,298,Super Lottery,5
8,Web,328,Beyond Reality Part 2,5
8,Web,317,The archive,5
8,Web,318,Lost API,5
8,Web,241,PHP feature or 0day reloaded?,6
8,Web,79,I hate this one,6
8,Web,100,XSS Challenge 5,6
8,Web,169,Serial killer part 2,6
8,Web,186,Orao's factory,6
8,Web,322,Ping It!,7
8,Web,321,Super Lottery Reloaded,7
8,Web,83,XPATH of hell!,7
8,Web,151,Secure Mail,8
8,Web,184,Looking for god in your life?,8
8,Web,353,Lotto 8/33,11
9,Pwnage Linux,80,Level1 Pwnage Linux Level Up,1
9,Pwnage Linux,81,Level2 Pwnage Linux Level Up,2
9,Pwnage Linux,181,Remote Auth,2
9,Pwnage Linux,82,Level3 Pwnage Linux Level Up,3
9,Pwnage Linux,325,The Vault,3
9,Pwnage Linux,165,Level1 Pwnage Linux x86_64,3
9,Pwnage Linux,109,Can you get the service password,4
9,Pwnage Linux,162,Sometime there is no buffer overflow,4
9,Pwnage Linux,166,Level2 Pwnage Linux x86_64,4
9,Pwnage Linux,180,Friendly race,5
9,Pwnage Linux,102,Level4 Pwnage Linux Level Up,5
9,Pwnage Linux,182,RPCFTW!,6
9,Pwnage Linux,251,Jack the heaper,6
9,Pwnage Linux,168,Level4 Pwnage Linux x86_64,7
9,Pwnage Linux,167,Level3 Pwnage Linux x86_64,7
9,Pwnage Linux,183,Just another useless service,8
9,Pwnage Linux,191,Take over the Virtual World,8
9,Pwnage Linux,232,Base64 As A Service,8
9,Pwnage Linux,329,All You Need Is a Client,8
9,Pwnage Linux,234,Base64 As A Service Reloaded,9
9,Pwnage Linux,235,Delivery As A Service,10
10,SysAdmin Linux,89,SysAdmin Part 1,1
10,SysAdmin Linux,148,SysAdmin Part 2,1
10,SysAdmin Linux,152,SysAdmin Part 3,1
10,SysAdmin Linux,146,SysAdmin Part 4,2
10,SysAdmin Linux,149,SysAdmin Part 5,2
10,SysAdmin Linux,90,SysAdmin Part 6,3
10,SysAdmin Linux,91,SysAdmin Part 7,4
10,SysAdmin Linux,147,SysAdmin Part 8,4
11,Jail Escaping,218,Bash Jail 1,1
11,Jail Escaping,223,PHP Jail 1,1
11,Jail Escaping,228,C Jail 1,1
11,Jail Escaping,219,Bash Jail 2,2
11,Jail Escaping,224,PHP Jail 2,2
11,Jail Escaping,229,C Jail 2,2
11,Jail Escaping,97,PyJail 1,3
11,Jail Escaping,220,Bash Jail 3,3
11,Jail Escaping,230,C Jail 3,3
11,Jail Escaping,225,PHP Jail 3,3
11,Jail Escaping,221,Bash Jail 4,4
11,Jail Escaping,226,PHP Jail 4,4
11,Jail Escaping,98,PyJail 2,5
11,Jail Escaping,257,C Jail 4,5
11,Jail Escaping,227,PHP Jail 5,6
11,Jail Escaping,222,Bash Jail 5,6
11,Jail Escaping,99,PyJail 3,6
11,Jail Escaping,258,C Jail 5,7
11,Jail Escaping,253,Bash Jail 6,8
11,Jail Escaping,260,Bash Jail 7,12
11,Jail Escaping,259,C Jail 6,14
12,Shellcoding,127,Basics of Linux x64 shellcoding,2
12,Shellcoding,128,Linux x64 shellcoding level 2,4
12,Shellcoding,131,Linux x64 shellcoding level 3,6
12,Shellcoding,132,Linux x64 shellcoding level 4,8
12,Shellcoding,133,Linux x64 shellcoding level 5,10
12,Shellcoding,134,Linux x64 shellcoding level 6,12
12,Shellcoding,135,Linux x64 shellcoding level 7,14
13,Malware Analysis,196,Capture 1 Part 2,1
13,Malware Analysis,199,Capture 1 Part 3,1
13,Malware Analysis,202,Capture 2 Part 1,1
13,Malware Analysis,203,Capture 2 Part 2,1
13,Malware Analysis,204,Capture 2 Part 3,1
13,Malware Analysis,195,Capture 1 Part 1,1
13,Malware Analysis,341,This malware excels Part 2,1
13,Malware Analysis,201,Capture 1 Part 4,2
13,Malware Analysis,342,This malware excels Part 3,2
13,Malware Analysis,340,This malware excels Part 1,2
13,Malware Analysis,197,Capture 1 Part 5,3
13,Malware Analysis,198,Capture 1 Part 6,3
13,Malware Analysis,200,Capture 1 Part 7,3
13,Malware Analysis,205,Capture 2 Part 4,3
13,Malware Analysis,206,Capture 2 Part 5,4
13,Malware Analysis,263,RAO democracy,4
13,Malware Analysis,262,APT 1337,4
13,Malware Analysis,250,WebShell of Hell,5
13,Malware Analysis,343,This malware excels Part 4,5
13,Malware Analysis,207,Capture 2 Part 6,7
13,Malware Analysis,272,Just Another MBR Ransomware,8
13,Malware Analysis,348,Evil X,8
14,The NC8 Reverse Engineering Track,284,NC8 MAINFRAME MANAGEMENT INTERFACE Part 2 Flag 1,3
14,The NC8 Reverse Engineering Track,287,NC8 MAINFRAME MANAGEMENT INTERFACE Part 3,5
14,The NC8 Reverse Engineering Track,283,NC8 MAINFRAME MANAGEMENT INTERFACE Part 1,7
14,The NC8 Reverse Engineering Track,285,NC8 MAINFRAME MANAGEMENT INTERFACE Part 2 Flag 2,7
14,The NC8 Reverse Engineering Track,286,NC8 MAINFRAME MANAGEMENT INTERFACE Part 2 Flag 3,10
14,The NC8 Reverse Engineering Track,288,NC8 MAINFRAME MANAGEMENT INTERFACE Part 4,15
15,Exotic Data Storage,124,Just another login form,2
15,Exotic Data Storage,308,DON'T login as admin,2
15,Exotic Data Storage,309,I forgot my password,3
15,Exotic Data Storage,303,Inspiration,6
16,Software Defined Radio,136,SigID Level 1,1
16,Software Defined Radio,332,You Turn Me On And Off,3
16,Software Defined Radio,333,Let's Get Scwhifty!,5
16,Software Defined Radio,137,SigID Level 2,6
16,Software Defined Radio,334,"Don't flip out, Thomas!",7
17,NorthSec 2021,350,Knight Portal (1/3),2
17,NorthSec 2021,351,Knight Portal (2/3),2
17,NorthSec 2021,357,Farmer Search (2/3),2
17,NorthSec 2021,390,The Cabal,2
17,NorthSec 2021,354,Crapto Century,3
17,NorthSec 2021,356,Farmer Search (1/3),3
17,NorthSec 2021,391,Scammed again,3
17,NorthSec 2021,355,Reading Through the Cloud,4
17,NorthSec 2021,358,Farmer Search (3/3),4
17,NorthSec 2021,352,Knight Portal (3/3),5
18,NorthSec 2023,360,Ask G.O.D (02/18),1
18,NorthSec 2023,385,We Call it Spring (2/4),1
18,NorthSec 2023,364,Ask G.O.D (06/18),1
18,NorthSec 2023,365,Ask G.O.D (07/18),1
18,NorthSec 2023,382,Orchestry (1/3),1
18,NorthSec 2023,381,We Call it Spring (1/4),1
18,NorthSec 2023,371,Ask G.O.D (13/18),1
18,NorthSec 2023,373,Ask G.O.D (15/18),1
18,NorthSec 2023,372,Ask G.O.D (14/18),2
18,NorthSec 2023,387,We Call it Spring (4/4),2
18,NorthSec 2023,384,Orchestry (3/3),2
18,NorthSec 2023,376,Ask G.O.D (18/18),2
18,NorthSec 2023,375,Ask G.O.D (17/18),2
18,NorthSec 2023,374,Ask G.O.D (16/18),2
18,NorthSec 2023,370,Ask G.O.D (12/18),2
18,NorthSec 2023,369,Ask G.O.D (11/18),2
18,NorthSec 2023,368,Ask G.O.D (10/18),2
18,NorthSec 2023,361,Ask G.O.D (03/18),2
18,NorthSec 2023,359,Ask G.O.D (01/18),3
18,NorthSec 2023,366,Ask G.O.D (08/18),3
18,NorthSec 2023,363,Ask G.O.D (05/18),3
18,NorthSec 2023,383,Orchestry (2/3),4
18,NorthSec 2023,362,Ask G.O.D (04/18),5
18,NorthSec 2023,386,We Call it Spring (3/4),5
18,NorthSec 2023,388,Corporate Cafeteria Menu,6
18,NorthSec 2023,367,Ask G.O.D (09/18),7
18,NorthSec 2023,377,The G.O.D Archive,12
19,NorthSec 2022,378,Email Template (1/3),2
19,NorthSec 2022,380,Email Template (3/3),4
19,NorthSec 2022,379,Email Template (2/3),5
19,NorthSec 2022,389,Stock Options Portal,6
20,NorthSec 2024,392,Appendix System,2
20,NorthSec 2024,395,Photographic Memory System (1/2),3
20,NorthSec 2024,396,Photographic Memory System (2/2),3
20,NorthSec 2024,397,Integumentary System (1/2),3
20,NorthSec 2024,393,Anti-Allergens Immune System,4
20,NorthSec 2024,394,Linguistic Memory System,5
20,NorthSec 2024,398,Integumentary System (2/2),5
21,NorthSec 2025,404,Motor Sensors - Agent 1 (1/3),1
21,NorthSec 2025,416,Disabling the camera operator (1/4),1
21,NorthSec 2025,402,LED Display Controller (2/3),2
21,NorthSec 2025,406,Motor Sensors - Agent 1 (3/3),2
21,NorthSec 2025,408,Motor Sensors - Agent 2 (2/3),2
21,NorthSec 2025,413,Motor Sensors - Controller (4/4),2
21,NorthSec 2025,417,Disabling the camera operator (2/4),3
21,NorthSec 2025,403,LED Display Controller (3/3),3
21,NorthSec 2025,409,Motor Sensors - Agent 2 (3/3),3
21,NorthSec 2025,410,Motor Sensors - Controller (1/4),3
21,NorthSec 2025,411,Motor Sensors - Controller (2/4),3
21,NorthSec 2025,419,Disabling the camera operator (4/4),4
21,NorthSec 2025,418,Disabling the camera operator (3/4),4
21,NorthSec 2025,415,Motor Sensors - Agent 3 (2/2),4
21,NorthSec 2025,407,Motor Sensors - Agent 2 (1/3),4
21,NorthSec 2025,401,LED Display Controller (1/3),4
21,NorthSec 2025,400,Passenger Manifesto (2/2),4
21,NorthSec 2025,414,Motor Sensors - Agent 3 (1/2),5
21,NorthSec 2025,405,Motor Sensors - Agent 1 (2/3),5
21,NorthSec 2025,399,Passenger Manifesto (1/2),5
21,NorthSec 2025,412,Motor Sensors - Controller (3/4),6
